Scuola,Autore,Soggetto/Titolo,Data,Sala
fiorentina,"Empoli, L'",Nozze di Caterina de' Medici con Enrico di Valois,1600-1630 circa,Primo vestibolo d'entrata
fiorentina,"Empoli, L'",Nozze di Maria de' Medici con Enrico IV di Francia,1600-1630 circa,Primo vestibolo d'entrata
fiorentina,Giovanni da San Giovanni,Apollo e Marsia,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Giudizio di Paride,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Aurora e Titone,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Susanna e i vecchioni,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Apollo e Fetonte,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Amore e Pan,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Bacco e Arianna,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Scena di evirazione,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Narciso alla fonte,1634 circa,Anticamera della direzione
fiorentina,Giovanni da San Giovanni,Ubriacatura di Sileno,1634 circa,Anticamera della direzione
fiorentina,Maestro della Croce n. 432,Crocifisso con storie della Passione e della Redenzione,1175-1200 circa,2 - Duecento e Giotto
fiorentina,Maestro di Greve,Madonna di Casale,1210-1215 circa,2 - Duecento e Giotto
fiorentina,Maestro del Bigallo,Madonna col Bambino in trono e due angeli,1230 circa,2 - Duecento e Giotto
fiorentina,Maestro della Croce n. 434,Crocifisso con otto storie della Passione,1240-1245 circa,2 - Duecento e Giotto
fiorentina,Maestro del San Francesco Bardi o Maestro della Croce n. 434,Stimmate di san Francesco,1250 circa,2 - Duecento e Giotto
lucchese,"Berlinghieri, Bonaventura",Dittico della Crocifissione e della Madonna col Bambino e santi,1255 circa,2 - Duecento e Giotto
fiorentina,Maestro della Sant'Agata,Madonna Pisa,1250-1280 circa,2 - Duecento e Giotto
fiorentina,Meliore,Redentore tra la Vergine e tre santi,1271,2 - Duecento e Giotto
fiorentina,Maestro della Maddalena,San Luca,1280-1285 circa,2 - Duecento e Giotto
fiorentina,Cimabue,Maestà di Santa Trinita,1280-1290 circa,2 - Duecento e Giotto
senese,Duccio di Buoninsegna,Madonna Rucellai,1285,2 - Duecento e Giotto
fiorentina,Giotto,Polittico di Badia,1300 circa,2 - Duecento e Giotto
fiorentina,Giotto,Maestà di Ognissanti,1310 circa,2 - Duecento e Giotto
senese,"Lorenzetti, Pietro",Madonna in trono col Bambino tra otto angeli,1340,3 - Trecento senese
senese,"Lorenzetti, Pietro",Polittico della beata Umiltà,1340 circa,3 - Trecento senese
senese,"Lorenzetti, Ambrogio",Trittico di San Procolo,1332,3 - Trecento senese
